year,name,data
2010,DP05_0062E,17242278
2019,DP05_0063E,328239523
2018,DP05_0063E,327167439
2017,DP05_0063E,325719178
2016,DP05_0063E,1366322
2015,DP05_0063E,1314433
2014,DP05_0063E,1270272
2013,DP05_0063E,1226149
2012,DP05_0063E,1250274
2011,DP05_0063E,1186153
2010,DP05_0063E,1167053
2019,DP05_0064E,246234076
2018,DP05_0064E,245860228
2017,DP05_0064E,244691364
2016,DP05_0064E,18049903
2015,DP05_0064E,17051509
2014,DP05_0064E,16703187
2013,DP05_0064E,16474381
2012,DP05_0064E,16232503
2011,DP05_0064E,16396503
2010,DP05_0064E,16534492
2019,DP05_0066E,5665200
2018,DP05_0066E,5710410
2017,DP05_0066E,5631945
2016,DP05_0066E,57398719
2015,DP05_0066E,56496122
2014,DP05_0066E,55279452
2013,DP05_0066E,53986412
2012,DP05_0066E,52961017
2011,DP05_0066E,51939916
2010,DP05_0066E,50740089
2019,DP05_0067E,22371683
2018,DP05_0067E,22137269
2017,DP05_0067E,21646070
2016,DP05_0067E,36255589
2015,DP05_0067E,35797080
2014,DP05_0067E,35320579
2013,DP05_0067E,34586088
2012,DP05_0067E,34038599
2011,DP05_0067E,33557922
2010,DP05_0067E,32929683
2019,DP05_0068E,1438818
2018,DP05_0068E,1468239
2017,DP05_0068E,1407096
2016,DP05_0068E,5450472
2015,DP05_0068E,5372759
2014,DP05_0068E,5266738
2013,DP05_0068E,5138109
2012,DP05_0068E,4970604
2011,DP05_0068E,4885294
2010,DP05_0068E,4691890
2019,DP05_0069E,18214244
2018,DP05_0069E,18146776
2017,DP05_0069E,18346638
2016,DP05_0069E,2212566
2015,DP05_0069E,2106501
2014,DP05_0069E,2046805
2013,DP05_0069E,2013155
2012,DP05_0069E,1957557
2011,DP05_0069E,1891014
2010,DP05_0069E,1873585
2019,DP05_0070E,328239523
2018,DP05_0070E,327167439
2017,DP05_0070E,325719178
2016,DP05_0070E,13480092
2015,DP05_0070E,13219782
2014,DP05_0070E,12645330
2013,DP05_0070E,12249060
2012,DP05_0070E,11994257
2011,DP05_0070E,11605686
2010,DP05_0070E,11244931
2019,DP05_0071E,60481746
2018,DP05_0071E,59763631
2017,DP05_0071E,58846134
2016,DP05_0071E,265728796
2015,DP05_0071E,264922699
2014,DP05_0071E,263577604
2013,DP05_0071E,262142427
2012,DP05_0071E,260953023
2011,DP05_0071E,259652003
2010,DP05_0071E,258609600
2019,DP05_0072E,37186361
2018,DP05_0072E,36986661
2017,DP05_0072E,36668018
2016,DP05_0072E,197479450
2015,DP05_0072E,197534496
2014,DP05_0072E,197409353
2013,DP05_0072E,197392411
2012,DP05_0072E,197243423
2011,DP05_0072E,197084523
2010,DP05_0072E,196929412
2019,DP05_0073E,5828706
2018,DP05_0073E,5791453
2017,DP05_0073E,5588664
2016,DP05_0073E,39717127
2015,DP05_0073E,39597600
2014,DP05_0073E,39267149
2013,DP05_0073E,38807755
2012,DP05_0073E,38464192
2011,DP05_0073E,38148876
2010,DP05_0073E,37897524
2019,DP05_0074E,2381565
2018,DP05_0074E,2363532
2017,DP05_0074E,2315863
2016,DP05_0074E,2125635
2015,DP05_0074E,2069645
2014,DP05_0074E,2103422
2013,DP05_0074E,2059457
2012,DP05_0074E,2084472
2011,DP05_0074E,2086995
2010,DP05_0074E,2074523
2019,DP05_0075E,15085114
2018,DP05_0075E,14621985
2017,DP05_0075E,14273589
2016,DP05_0075E,17345193
2015,DP05_0075E,17081093
2014,DP05_0075E,16513652
2013,DP05_0075E,15841339
2012,DP05_0075E,15375460
2011,DP05_0075E,14854988
2010,DP05_0075E,14566264
2019,DP05_0076E,267757777
2018,DP05_0076E,267403808
2017,DP05_0076E,266873044
2016,DP05_0076E,533675
2015,DP05_0076E,502876
2014,DP05_0076E,507550
2013,DP05_0076E,482428
2012,DP05_0076E,497807
2011,DP05_0076E,469941
2010,DP05_0076E,474799
2019,DP05_0077E,196789401
2018,DP05_0077E,197033939
2017,DP05_0077E,197285202
2016,DP05_0077E,758275
2015,DP05_0077E,699309
2014,DP05_0077E,679100
2013,DP05_0077E,641423
2012,DP05_0077E,614725
2011,DP05_0077E,565213
2010,DP05_0077E,558211
2019,DP05_0078E,40596040
2018,DP05_0078E,40305870
2017,DP05_0078E,40129593
2016,DP05_0078E,7769441
2015,DP05_0078E,7437680
2014,DP05_0078E,7097378
2013,DP05_0078E,6917614
2012,DP05_0078E,6672944
2011,DP05_0078E,6441467
2010,DP05_0078E,6108867
2019,DP05_0079E,2236348
2018,DP05_0079E,2180266
2017,DP05_0079E,2145162
2016,DP05_0079E,308586
2015,DP05_0079E,279052
2014,DP05_0079E,260586
2013,DP05_0079E,281039
2012,DP05_0079E,307162
2011,DP05_0079E,300228
2010,DP05_0079E,303389
2019,DP05_0080E,18427914
2018,DP05_0080E,18193513
2017,DP05_0080E,17999846
2016,DP05_0080E,7460855
2015,DP05_0080E,7158628
2014,DP05_0080E,6836792
2013,DP05_0080E,6636575
2012,DP05_0080E,6365782
2011,DP05_0080E,6141239
2010,DP05_0080E,5805478
